  14.4643 4.0758e+05 3.1281e+05 5.4566e+05 3.1903e+05 5.4118e+05 3.8424e+05 4.3248e+05 3.8318e+05 4.3197e+05
  14.5918 3.9470e+05 3.0322e+05 5.2783e+05 3.0919e+05 5.2353e+05 3.7226e+05 4.1862e+05 3.7116e+05 4.1823e+05
  14.7194 3.8228e+05 2.9396e+05 5.1067e+05 2.9970e+05 5.0654e+05 3.6071e+05 4.0528e+05 3.5958e+05 4.0499e+05
  14.8469 3.7032e+05 2.8502e+05 4.9415e+05 2.9054e+05 4.9018e+05 3.4956e+05 3.9242e+05 3.4841e+05 3.9223e+05
  14.9745 3.5878e+05 2.7639e+05 4.7824e+05 2.8170e+05 4.7442e+05 3.3882e+05 3.8003e+05 3.3764e+05 3.7993e+05
  15.1020 3.4766e+05 2.6807e+05 4.6292e+05 2.7317e+05 4.5924e+05 3.2845e+05 3.6809e+05 3.2724e+05 3.6808e+05
  15.2296 3.3694e+05 2.6003e+05 4.4816e+05 2.6493e+05 4.4462e+05 3.1845e+05 3.5658e+05 3.1722e+05 3.5665e+05
  15.3571 3.2659e+05 2.5227e+05 4.3393e+05 2.5698e+05 4.3053e+05 3.0880e+05 3.4549e+05 3.0755e+05 3.4562e+05
  15.4847 3.1661e+05 2.4477e+05 4.2023e+05 2.4931e+05 4.1695e+05 2.9948e+05 3.3479e+05 2.9821e+05 3.3500e+05
  15.6122 3.0697e+05 2.3753e+05 4.0702e+05 2.4190e+05 4.0386e+05 2.9048e+05 3.2447e+05 2.8920e+05 3.2474e+05
  15.7398 2.9768e+05 2.3053e+05 3.9429e+05 2.3474e+05 3.9124e+05 2.8180e+05 3.1452e+05 2.8050e+05 3.1485e+05
  15.8673 2.8871e+05 2.2377e+05 3.8201e+05 2.2782e+05 3.7908e+05 2.7341e+05 3.0492e+05 2.7210e+05 3.0531e+05
